flight_id,timestamp,corridor_id,drone_type,operator_name,airspace_class,cargo_type,season,weather_condition,flight_status,altitude_m,ground_speed_kmh,flight_distance_km,payload_kg,battery_start_pct,battery_end_pct,wind_speed_kmh,temperature_c,visibility_km,corridor_latitude,corridor_longitude,compliant_flight,risk_level
FLT-000013,2022-11-21 09:05:00,COR-021,Hybrid VTOL,Wing (Alphabet),Class G,Food Delivery,Spring,Fog,Delayed,36.3,67.0,0.5,1.0,82,52,3.8,13.2,1,43.3137,-78.5897,1,Critical
FLT-000014,2023-02-18 09:22:00,COR-050,Fixed-Wing,UPS Flight Forward,Class E,Emergency Response,Autumn,Overcast,Completed,245.4,72.6,35.08,1.0,75,58,1.4,25.4,10,29.6715,-80.467,1,High
FLT-000015,2022-12-06 14:51:00,COR-032,Multirotor,Wing (Alphabet),Class B,Industrial Parts,Winter,Overcast,Completed,355.9,48.6,22.2,1.5,86,41,29.6,28.2,8,29.0001,-111.6767,1,Medium
FLT-000016,2021-03-30 20:34:00,COR-045,Multirotor,Wing (Alphabet),Class B,Mail,Spring,Clear,Completed,110.5,42.3,2.01,0.0,75,61,4.9,7.1,15,29.0349,-91.4098,1,Medium
FLT-000017,2021-09-13 18:05:00,COR-009,Fixed-Wing,Wing (Alphabet),Class E,Surveillance,Autumn,Clear,Delayed,97.8,47.3,49.88,1.0,73,48,4.2,15.4,20,31.6933,-118.4386,1,Low
FLT-000018,2024-02-05 15:53:00,COR-011,Fixed-Wing,Matternet,Class C,Mail,Summer,Strong Wind,Completed,315.7,54.4,20.06,2.5,75,48,16.5,30.1,3,36.5446,-81.0012,1,Medium
FLT-000019,2024-07-11 17:36:00,COR-013,Multirotor,DroneUp,Class C,Industrial Parts,Summer,Strong Wind,Aborted,124.4,60.4,2.12,2.5,70,23,12.5,19.9,20,34.5028,-113.4473,1,Critical
FLT-000020,2022-01-29 08:02:00,COR-027,Hybrid VTOL,Wing (Alphabet),Class E,Retail Package,Spring,Clear,Completed,101.0,85.7,35.46,2.0,70,38,13.0,14.8,5,31.407,-118.5301,1,Low
FLT-000021,2024-09-16 13:49:00,COR-037,Multirotor,Amazon Prime Air,Class B,Medical Supplies,Spring,Light Rain,Completed,169.9,66.7,11.8,2.0,88,35,1.7,25.6,5,38.4608,-102.3893,1,Critical
FLT-000022,2022-08-16 08:54:00,COR-018,Fixed-Wing,Wing (Alphabet),Class E,Surveillance,Summer,Overcast,Completed,175.2,74.7,5.87,2.5,91,45,3.4,16.6,5,28.0689,-93.7308,1,High
FLT-000023,2022-04-22 09:24:00,COR-018,Multirotor,Skydio,Class E,Industrial Parts,Summer,Clear,Completed,353.4,67.8,31.38,0.5,88,58,8.2,15.8,3,31.4272,-80.1091,1,High
FLT-000024,2022-07-24 20:40:00,COR-011,Fixed-Wing,Joby Aviation,Class G,Emergency Response,Autumn,Partly Cloudy,Completed,258.8,42.7,24.14,1.5,99,45,24.4,3.2,5,33.06,-74.2621,1,High
FLT-000025,2023-01-18 11:23:00,COR-039,Multirotor,Matternet,Class G,Medical Supplies,Autumn,Partly Cloudy,Completed,180.2,65.3,17.56,0.5,82,51,6.6,9.0,15,35.0335,-100.4649,1,Medium
FLT-000026,2022-12-29 12:42:00,COR-029,Fixed-Wing,UPS Flight Forward,Class G,Medical Supplies,Summer,Clear,Diverted,227.7,67.6,41.18,2.5,76,54,1.8,25.4,15,42.2739,-119.0381,1,Medium
FLT-000027,2022-07-01 08:38:00,COR-047,Multirotor,Joby Aviation,Class B,Retail Package,Winter,Fog,Completed,383.0,80.2,35.56,1.5,80,35,6.1,24.7,20,29.3928,-85.2933,1,Critical
FLT-000028,2024-07-24 11:34:00,COR-022,Multirotor,Flytrex,Class D,Emergency Response,Spring,Strong Wind,Diverted,71.9,43.6,4.63,2.5,89,69,4.1,10.0,3,36.3132,-94.3065,1,High
FLT-000029,2022-05-17 11:29:00,COR-031,Fixed-Wing,DroneUp,Class E,Medical Supplies,Summer,Fog,Completed,106.9,24.2,37.97,2.5,81,66,60.0,17.0,3,38.0331,-100.0533,0,Low
FLT-000030,2023-02-17 14:59:00,COR-010,Hybrid VTOL,Flytrex,Class C,Industrial Parts,Winter,Clear,Completed,386.1,68.5,8.43,1.5,78,60,5.7,17.2,20,26.0219,-106.8458,1,Low
FLT-000031,2024-08-03 13:43:00,COR-044,Hybrid VTOL,Wing (Alphabet),Class E,Emergency Response,Spring,Clear,Completed,384.2,72.1,10.17,1.5,82,53,11.5,24.8,10,38.366,-97.3825,1,Medium
FLT-000032,2022-10-27 07:14:00,COR-050,Fixed-Wing,Skydio,Class C,Mail,Spring,Partly Cloudy,Completed,95.6,61.4,64.57,0.0,76,28,10.3,12.9,10,28.7515,-105.4047,1,Low
FLT-000033,2021-03-07 16:25:00,COR-002,Multirotor,Zipline,Class G,Industrial Parts,Autumn,Light Rain,Completed,83.7,65.6,25.68,1.5,89,56,2.2,17.7,15,26.4311,-84.9064,1,Medium
FLT-000034,2022-07-03 08:13:00,COR-007,Multirotor,Joby Aviation,Class E,Food Delivery,Autumn,Clear,Completed,185.8,82.6,6.98,2.0,94,73,1.7,24.1,10,45.8755,-95.3492,1,Critical
FLT-000035,2024-03-07 16:13:00,COR-038,Hybrid VTOL,Flytrex,Class D,Mail,Spring,Partly Cloudy,Completed,48.4,55.8,18.79,1.0,74,23,0.2,18.7,2,46.2439,-79.0345,1,Low
FLT-000036,2024-09-04 21:25:00,COR-044,Fixed-Wing,Matternet,Class C,Retail Package,Spring,Clear,Completed,272.3,59.4,13.95,5.0,85,41,1.8,-2.3,20,42.7847,-95.3663,1,Low
FLT-000037,2024-08-09 20:09:00,COR-004,Multirotor,Flytrex,Class D,Mail,Summer,Partly Cloudy,Completed,58.7,66.6,2.23,5.0,89,41,15.6,31.1,3,31.7015,-110.3251,1,High
FLT-000038,2022-06-27 10:15:00,COR-040,Multirotor,Amazon Prime Air,Class C,Medical Supplies,Winter,Strong Wind,Completed,51.5,40.6,39.37,1.0,87,53,12.0,21.4,10,27.1488,-80.2965,1,High
FLT-000039,2024-02-24 14:47:00,COR-006,Multirotor,Flytrex,Class E,Medical Supplies,Summer,Clear,Completed,209.5,62.0,31.06,2.0,94,58,4.0,23.1,8,40.0531,-94.6963,1,Low
FLT-000040,2024-04-12 19:57:00,COR-015,Multirotor,Joby Aviation,Class C,Industrial Parts,Autumn,Partly Cloudy,Completed,384.4,63.7,27.07,0.0,81,30,2.9,-10.0,8,34.6834,-111.8648,1,Critical
FLT-000041,2024-04-10 18:23:00,COR-028,Multirotor,UPS Flight Forward,Class G,Medical Supplies,Autumn,Clear,Completed,187.9,97.7,14.74,2.0,95,85,0.4,16.9,8,27.6848,-91.4481,1,Critical
FLT-000042,2022-03-26 10:32:00,COR-002,Single-Rotor,UPS Flight Forward,Class E,Medical Supplies,Winter,Clear,Diverted,161.9,59.0,4.49,2.0,93,72,4.0,33.4,20,35.8939,-104.4719,1,Medium
FLT-000043,2023-10-08 08:48:00,COR-043,Multirotor,Matternet,Class E,Mail,Winter,Fog,Completed,399.2,69.0,38.76,2.5,91,81,4.9,16.3,3,25.7565,-80.6241,1,Critical
FLT-000044,2021-04-07 09:09:00,COR-019,Hybrid VTOL,Zipline,Class D,Mail,Autumn,Strong Wind,Aborted,226.8,83.4,7.84,1.0,70,48,24.0,15.4,15,45.005,-99.7883,1,Medium
FLT-000045,2024-07-09 11:50:00,COR-026,Multirotor,Joby Aviation,Class C,Retail Package,Winter,Clear,Completed,168.8,48.3,0.5,3.0,77,29,0.2,18.5,8,30.6932,-86.4044,1,Low
FLT-000046,2024-10-25 19:38:00,COR-046,Single-Rotor,Manna Drone Delivery,Class B,Emergency Response,Summer,Partly Cloudy,Completed,172.8,92.5,72.09,3.0,73,24,3.7,36.3,2,39.5755,-117.3187,1,High
FLT-000047,2021-05-11 18:24:00,COR-016,Multirotor,UPS Flight Forward,Class B,Medical Supplies,Summer,Clear,Completed,102.1,100.3,35.54,2.0,86,71,36.7,13.8,10,31.8576,-102.5948,1,Critical
FLT-000048,2024-05-05 20:33:00,COR-025,Single-Rotor,Joby Aviation,Class E,Mail,Autumn,Partly Cloudy,Completed,219.5,64.4,17.54,1.5,72,34,22.9,29.6,8,36.4415,-73.8212,1,Low
FLT-000049,2022-05-30 06:43:00,COR-033,Hybrid VTOL,DroneUp,Class E,Emergency Response,Winter,Light Rain,Completed,192.4,54.2,0.5,2.0,91,78,25.6,15.0,5,37.0276,-82.3854,1,High
FLT-000050,2021-08-23 14:49:00,COR-028,Multirotor,Zipline,Class C,Industrial Parts,Spring,Partly Cloudy,Aborted,130.2,97.5,4.65,2.0,87,55,0.0,13.0,8,29.0668,-114.1629,1,High
FLT-000051,2024-08-05 16:07:00,COR-024,Multirotor,Wing (Alphabet),Class E,Industrial Parts,Spring,Clear,Completed,89.4,80.9,10.83,5.0,77,24,5.4,17.6,20,46.3309,-108.3896,1,High
FLT-000052,2022-08-25 19:10:00,COR-028,Fixed-Wing,Amazon Prime Air,Class G,Mail,Spring,Partly Cloudy,Aborted,145.2,66.6,17.8,0.5,90,73,7.9,9.1,15,42.0529,-105.839,1,High
FLT-000053,2023-07-19 06:46:00,COR-024,Hybrid VTOL,Amazon Prime Air,Class C,Surveillance,Autumn,Clear,Completed,218.2,93.5,22.17,1.0,90,44,1.4,10.8,15,45.669,-90.1321,1,High
FLT-000054,2022-06-24 11:32:00,COR-024,Multirotor,Joby Aviation,Class C,Mail,Winter,Light Rain,Completed,51.6,91.4,27.94,2.5,100,89,1.0,17.6,10,44.6862,-84.9073,1,Low
FLT-000055,2021-08-06 15:53:00,COR-031,Multirotor,Wing (Alphabet),Class E,Food Delivery,Summer,Light Rain,Completed,86.9,58.3,14.6,1.5,70,57,5.3,15.2,8,38.1538,-85.2732,1,Medium
FLT-000056,2024-08-01 12:09:00,COR-012,Single-Rotor,DroneUp,Class E,Mail,Spring,Partly Cloudy,Completed,380.6,70.0,19.22,2.0,78,46,30.4,14.8,10,45.2812,-97.0162,1,Low
FLT-000057,2023-02-05 11:34:00,COR-042,Multirotor,DroneUp,Class D,Retail Package,Spring,Partly Cloudy,Completed,230.9,76.5,30.01,0.5,96,66,6.1,16.8,10,26.9468,-82.2698,1,Medium
FLT-000058,2023-12-23 06:38:00,COR-007,Fixed-Wing,UPS Flight Forward,Class E,Industrial Parts,Spring,Light Rain,Diverted,53.5,65.6,22.9,2.0,71,36,17.0,5.5,3,29.3116,-100.5832,1,Critical
FLT-000059,2022-10-26 21:01:00,COR-028,Fixed-Wing,Skydio,Class E,Retail Package,Autumn,Overcast,Completed,286.4,37.2,55.74,2.0,94,45,10.9,10.9,10,25.995,-115.9299,1,High
FLT-000060,2021-08-18 17:56:00,COR-027,Multirotor,UPS Flight Forward,Class B,Food Delivery,Spring,Overcast,Completed,52.9,46.2,37.38,1.5,98,59,26.2,22.4,15,32.1573,-94.3423,1,Medium
FLT-000061,2022-09-22 13:03:00,COR-026,Hybrid VTOL,Zipline,Class B,Industrial Parts,Winter,Overcast,Completed,303.4,37.8,3.34,2.5,95,53,4.9,10.8,10,33.5509,-75.3372,1,Critical
FLT-000062,2022-05-09 08:05:00,COR-048,Fixed-Wing,DroneUp,Class D,Food Delivery,Winter,Clear,Completed,307.5,74.9,53.02,3.0,79,48,1.7,16.6,8,30.9697,-83.1433,1,High
FLT-000063,2023-09-23 08:48:00,COR-010,Multirotor,Zipline,Class G,Emergency Response,Autumn,Partly Cloudy,Completed,270.9,41.3,4.11,2.5,96,75,1.8,7.9,10,43.2322,-93.6437,1,Medium
FLT-000064,2023-12-27 10:08:00,COR-033,Fixed-Wing,Joby Aviation,Class C,Medical Supplies,Autumn,Clear,Completed,300.9,68.8,85.33,0.5,83,68,2.5,35.6,10,32.8486,-90.3065,1,Low
FLT-000065,2024-09-13 21:35:00,COR-026,Multirotor,Matternet,Class B,Mail,Autumn,Partly Cloudy,Aborted,62.5,101.6,21.75,2.0,70,41,19.8,20.5,3,31.1806,-76.4025,1,Critical
FLT-000066,2021-12-05 14:33:00,COR-007,Fixed-Wing,Manna Drone Delivery,Class D,Industrial Parts,Winter,Partly Cloudy,Completed,298.9,93.6,17.78,1.5,79,63,10.2,19.9,8,36.9393,-101.0112,1,Low
FLT-000067,2024-05-27 19:13:00,COR-024,Multirotor,Manna Drone Delivery,Class G,Surveillance,Spring,Strong Wind,Completed,80.6,28.3,7.06,1.0,77,38,9.5,13.0,20,28.1003,-105.7617,1,Critical
FLT-000068,2024-01-10 12:45:00,COR-008,Multirotor,Flytrex,Class C,Medical Supplies,Winter,Fog,Completed,155.6,39.4,2.57,3.0,72,20,1.6,5.0,2,42.6483,-74.1152,1,High
FLT-000069,2022-10-01 18:42:00,COR-037,Multirotor,Skydio,Class C,Industrial Parts,Autumn,Strong Wind,Aborted,378.8,49.5,2.43,1.5,82,32,2.3,19.6,8,26.6401,-79.6913,1,Medium
FLT-000070,2024-08-23 17:28:00,COR-045,Single-Rotor,Amazon Prime Air,Class D,Medical Supplies,Autumn,Light Rain,Completed,216.1,41.6,36.26,1.5,72,55,2.8,18.0,20,46.7115,-106.1709,1,High
FLT-000071,2023-11-26 20:07:00,COR-004,Multirotor,DroneUp,Class G,Surveillance,Summer,Clear,Aborted,387.9,31.9,10.2,2.5,76,50,16.8,38.4,1,41.9894,-99.2748,1,Critical
FLT-000072,2022-05-23 13:04:00,COR-009,Single-Rotor,Zipline,Class D,Industrial Parts,Winter,Clear,Completed,62.9,64.8,14.77,1.5,92,40,14.3,6.4,20,29.3717,-101.6612,1,High
FLT-000073,2022-11-24 06:37:00,COR-022,Fixed-Wing,Joby Aviation,Class E,Retail Package,Winter,Clear,Completed,206.7,79.1,48.35,3.0,92,55,10.5,21.4,15,25.1215,-114.6943,1,Medium
FLT-000074,2024-02-09 13:37:00,COR-045,Multirotor,Amazon Prime Air,Class D,Medical Supplies,Spring,Strong Wind,Completed,53.1,84.1,5.31,0.5,80,39,1.3,7.6,8,42.9402,-75.0669,1,Low
FLT-000075,2022-03-28 06:04:00,COR-011,Fixed-Wing,Skydio,Class C,Surveillance,Spring,Partly Cloudy,Diverted,263.2,55.5,25.99,2.5,83,65,2.0,27.9,1,40.5509,-102.1887,1,Low
FLT-000076,2024-12-20 07:14:00,COR-015,Fixed-Wing,DroneUp,Class E,Emergency Response,Autumn,Light Rain,Completed,59.1,59.6,11.44,0.5,76,23,3.6,27.2,2,41.0382,-79.1089,1,Critical
FLT-000077,2021-05-19 07:55:00,COR-036,Multirotor,Wing (Alphabet),Class E,Retail Package,Autumn,Light Rain,Completed,94.9,72.1,4.31,1.0,88,75,21.3,28.6,8,41.9679,-112.7215,1,High
FLT-000078,2022-11-08 08:32:00,COR-019,Fixed-Wing,Joby Aviation,Class C,Surveillance,Autumn,Strong Wind,Delayed,125.8,62.8,34.51,0.5,84,72,15.4,13.8,10,26.629,-95.1543,1,Low
FLT-000079,2022-05-03 14:42:00,COR-018,Fixed-Wing,UPS Flight Forward,Class D,Surveillance,Summer,Clear,Completed,307.0,81.2,20.51,1.0,77,24,29.6,17.5,2,32.8862,-120.8259,1,High
FLT-000080,2023-09-22 12:34:00,COR-012,Fixed-Wing,Amazon Prime Air,Class C,Retail Package,Winter,Clear,Completed,90.7,73.6,1.8,2.0,70,25,0.4,22.1,20,27.5491,-84.5532,1,Critical
FLT-000081,2021-09-28 21:15:00,COR-023,Hybrid VTOL,UPS Flight Forward,Class E,Surveillance,Spring,Light Rain,Delayed,343.3,57.5,14.05,2.0,72,56,20.7,20.1,20,43.9883,-93.5352,1,High
FLT-000082,2023-08-27 19:12:00,COR-033,Single-Rotor,DroneUp,Class D,Industrial Parts,Autumn,Clear,Aborted,78.8,27.9,34.36,1.0,77,58,0.3,21.9,8,38.7126,-91.3461,1,Medium
FLT-000083,2021-07-13 09:42:00,COR-018,Fixed-Wing,Skydio,Class E,Emergency Response,Spring,Fog,Aborted,43.0,95.0,1.25,1.0,82,40,13.1,15.0,5,32.2798,-119.4657,1,Medium
FLT-000084,2023-06-02 17:27:00,COR-018,Fixed-Wing,Wing (Alphabet),Class C,Mail,Summer,Partly Cloudy,Completed,176.2,51.3,9.69,0.5,87,64,12.6,10.7,8,26.3983,-111.6591,1,Low
FLT-000085,2023-04-22 20:55:00,COR-040,Hybrid VTOL,Amazon Prime Air,Class C,Medical Supplies,Winter,Clear,Completed,392.4,72.2,29.45,1.5,100,73,3.7,14.8,8,31.8416,-118.3578,1,Low
FLT-000086,2021-04-21 09:03:00,COR-013,Fixed-Wing,Matternet,Class B,Surveillance,Summer,Fog,Completed,70.8,26.7,35.18,1.0,76,34,16.6,32.6,20,32.154,-107.8432,1,High
FLT-000087,2023-04-05 16:51:00,COR-030,Multirotor,Skydio,Class E,Mail,Autumn,Overcast,Completed,67.6,64.8,26.88,0.5,89,54,6.6,28.9,10,41.0513,-91.2555,1,High
FLT-000088,2021-08-12 13:12:00,COR-044,Multirotor,Matternet,Class G,Emergency Response,Summer,Clear,Completed,307.9,67.0,6.57,2.5,100,52,12.0,24.6,15,39.0263,-94.2569,1,Critical
FLT-000089,2022-01-25 20:08:00,COR-043,Hybrid VTOL,UPS Flight Forward,Class E,Food Delivery,Autumn,Overcast,Completed,145.5,68.0,12.73,3.0,75,49,11.9,27.9,10,44.5187,-92.0047,1,Critical
FLT-000090,2023-05-15 11:17:00,COR-023,Hybrid VTOL,Zipline,Class D,Industrial Parts,Spring,Clear,Completed,295.4,125.3,24.34,0.5,94,42,25.6,12.9,15,35.3887,-95.0867,1,Low
FLT-000091,2023-08-06 13:55:00,COR-021,Fixed-Wing,Wing (Alphabet),Class G,Emergency Response,Summer,Partly Cloudy,Completed,104.0,52.4,2.98,1.0,77,40,13.5,31.2,3,27.6311,-108.6216,1,Low
FLT-000092,2021-06-04 20:51:00,COR-003,Hybrid VTOL,Amazon Prime Air,Class C,Medical Supplies,Winter,Overcast,Completed,200.2,81.4,16.27,2.0,73,62,13.3,6.5,15,40.6914,-110.0191,1,Low
FLT-000093,2024-02-02 09:03:00,COR-018,Hybrid VTOL,Manna Drone Delivery,Class E,Industrial Parts,Spring,Partly Cloudy,Aborted,128.2,75.5,22.94,3.0,92,43,10.9,18.2,15,41.7373,-115.2841,1,Medium
FLT-000094,2024-08-28 06:05:00,COR-029,Single-Rotor,Matternet,Class B,Emergency Response,Spring,Light Rain,Delayed,197.1,51.4,34.15,0.5,83,37,1.3,20.2,8,37.3481,-80.3955,1,Critical
FLT-000095,2022-04-30 11:26:00,COR-020,Fixed-Wing,Manna Drone Delivery,Class E,Surveillance,Summer,Clear,Completed,314.6,81.1,2.13,3.0,99,58,4.3,3.3,3,41.9613,-91.7925,1,Medium
FLT-000096,2023-09-22 21:13:00,COR-049,Single-Rotor,Zipline,Class D,Retail Package,Winter,Partly Cloudy,Aborted,311.9,61.7,7.2,0.5,88,52,7.4,14.0,10,35.8635,-112.861,1,Low
FLT-000097,2023-04-02 07:10:00,COR-006,Fixed-Wing,DroneUp,Class D,Emergency Response,Spring,Clear,Completed,220.8,82.5,14.04,2.0,78,38,3.5,20.5,8,36.5001,-113.3167,1,Low
FLT-000098,2023-02-16 06:24:00,COR-010,Hybrid VTOL,Zipline,Class B,Emergency Response,Winter,Strong Wind,Completed,373.5,104.2,21.74,0.0,82,69,2.2,-4.8,10,34.4059,-79.2213,1,High
FLT-000099,2022-06-28 20:18:00,COR-010,Hybrid VTOL,DroneUp,Class D,Emergency Response,Spring,Clear,Completed,127.6,68.0,23.57,3.0,81,37,8.6,6.8,20,25.5592,-85.6062,1,High
FLT-000100,2023-05-17 21:09:00,COR-037,Multirotor,Flytrex,Class E,Mail,Summer,Clear,Completed,118.9,59.4,5.26,1.0,71,30,21.6,17.3,15,27.3736,-89.6894,1,High
FLT-000101,2022-01-24 15:13:00,COR-015,Single-Rotor,Joby Aviation,Class E,Medical Supplies,Summer,Partly Cloudy,Completed,257.1,86.0,0.5,2.0,75,55,12.1,15.6,10,25.6914,-102.0637,1,High
FLT-000102,2021-04-30 07:47:00,COR-008,Multirotor,Manna Drone Delivery,Class D,Retail Package,Spring,Clear,Completed,259.9,92.9,21.3,0.5,90,58,14.2,8.1,3,39.001,-109.1632,1,High
FLT-000103,2022-10-05 07:03:00,COR-048,Multirotor,UPS Flight Forward,Class E,Mail,Summer,Fog,Completed,47.2,47.3,43.17,1.0,98,66,1.8,25.2,10,31.9158,-74.0069,1,High
FLT-000104,2024-04-11 21:32:00,COR-049,Multirotor,Zipline,Class D,Surveillance,Autumn,Clear,Completed,254.9,55.9,28.75,2.0,89,41,19.2,33.1,15,36.1886,-82.9353,1,Low
FLT-000105,2023-12-24 11:03:00,COR-007,Single-Rotor,DroneUp,Class E,Surveillance,Spring,Overcast,Completed,168.5,78.5,17.53,5.0,87,43,1.4,15.8,10,44.9665,-107.2128,1,High
FLT-000106,2023-11-07 08:54:00,COR-050,Fixed-Wing,UPS Flight Forward,Class D,Surveillance,Winter,Light Rain,Completed,306.6,62.4,68.35,5.0,78,52,4.0,13.9,8,30.4844,-80.4693,1,Low
FLT-000107,2022-01-16 08:38:00,COR-036,Fixed-Wing,Zipline,Class E,Medical Supplies,Autumn,Partly Cloudy,Completed,329.0,45.9,10.22,2.5,84,55,25.1,2.1,8,34.0284,-84.8123,1,Critical
FLT-000108,2021-05-20 13:25:00,COR-047,Multirotor,Joby Aviation,Class E,Mail,Summer,Clear,Completed,234.3,75.8,13.4,2.5,90,38,30.6,9.9,10,41.6221,-107.4431,1,High
FLT-000109,2021-09-03 13:37:00,COR-020,Hybrid VTOL,DroneUp,Class B,Mail,Summer,Clear,Completed,30.6,78.4,0.5,5.0,70,29,1.1,-0.3,10,30.0336,-101.0989,1,Critical
FLT-000110,2024-05-02 07:39:00,COR-028,Multirotor,Amazon Prime Air,Class D,Emergency Response,Summer,Partly Cloudy,Completed,265.5,58.3,52.52,0.0,90,43,2.1,2.1,10,26.6936,-112.8883,1,Medium
FLT-000111,2021-06-17 19:42:00,COR-038,Multirotor,Amazon Prime Air,Class D,Retail Package,Spring,Clear,Delayed,307.1,66.2,15.76,0.5,76,62,5.3,21.1,20,31.3745,-116.5584,1,Critical
FLT-000112,2024-04-10 16:59:00,COR-007,Single-Rotor,DroneUp,Class C,Surveillance,Spring,Overcast,Completed,122.1,53.5,8.92,0.5,72,48,15.1,21.1,20,28.5469,-86.5847,1,Low
FLT-000113,2022-06-19 12:42:00,COR-026,Multirotor,Zipline,Class E,Industrial Parts,Summer,Partly Cloudy,Aborted,201.9,43.1,0.82,1.5,92,51,1.9,18.3,8,45.4533,-108.8919,1,Low
FLT-000114,2022-10-06 13:16:00,COR-001,Fixed-Wing,Matternet,Class E,Retail Package,Spring,Partly Cloudy,Completed,387.3,55.1,8.1,5.0,91,48,2.0,24.4,5,42.7786,-81.8171,1,Critical
FLT-000115,2023-03-22 10:42:00,COR-024,Multirotor,Wing (Alphabet),Class D,Food Delivery,Autumn,Clear,Completed,140.3,66.5,0.5,1.5,76,41,9.5,26.5,20,38.9349,-73.2152,1,Low
FLT-000116,2024-08-14 15:29:00,COR-009,Fixed-Wing,Wing (Alphabet),Class E,Medical Supplies,Spring,Strong Wind,Completed,112.6,35.5,7.06,1.5,82,58,10.7,8.1,5,44.1721,-118.2456,1,Medium
FLT-000117,2022-10-10 08:00:00,COR-010,Multirotor,Amazon Prime Air,Class C,Emergency Response,Summer,Partly Cloudy,Delayed,108.0,56.5,54.45,2.5,78,60,1.1,11.7,20,42.6808,-98.8213,1,Medium
FLT-000118,2023-07-28 09:04:00,COR-003,Multirotor,Skydio,Class D,Retail Package,Winter,Clear,Completed,236.8,66.8,3.02,3.0,71,57,6.2,29.0,5,29.1045,-82.6989,1,Low
FLT-000119,2024-01-07 12:32:00,COR-022,Hybrid VTOL,Amazon Prime Air,Class D,Medical Supplies,Winter,Clear,Diverted,381.4,88.9,14.19,2.0,81,38,15.8,22.9,3,44.6363,-83.3414,1,Low
FLT-000120,2022-06-28 10:59:00,COR-042,Single-Rotor,Amazon Prime Air,Class D,Retail Package,Winter,Clear,Completed,255.2,58.7,3.72,3.0,71,29,5.0,26.2,8,36.8655,-84.7601,1,Low
FLT-000121,2022-12-16 08:56:00,COR-045,Fixed-Wing,Amazon Prime Air,Class E,Industrial Parts,Winter,Light Rain,Completed,142.2,40.1,27.53,0.5,82,52,3.3,17.4,20,42.7637,-104.8992,1,Critical
FLT-000122,2022-05-16 17:18:00,COR-008,Multirotor,Zipline,Class D,Surveillance,Autumn,Partly Cloudy,Completed,266.3,60.8,14.88,1.5,70,58,1.5,19.7,15,44.714,-99.7612,1,Critical
